date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:11	2419726/2419726	------	200	untouched ('')	application/pdf	etag:W/%22e9f3e2c2a854b758c0001e1039d8b083%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a542540e4966b16d14e4eac/1515464005321/LM15+SEIU+LU+73.pdf	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a542540e4966b16d14e4eac/1515464005321/LM15+SEIU+LU+73.pdf	(from https://www.membersleadingmembers.com/)
20:07:11	57566/57566	------	200	untouched ('OK')	text/html	etag:W/%22201c3dbdee1e22a813d36f1a5b9d69ac%22	https://www.membersleadingmembers.com/volunteer	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/volunteer.html	(from https://www.membersleadingmembers.com/)
20:07:11	52680/52680	------	200	untouched ('OK')	text/html	etag:W/%229c1f84750d04fd99987770c4566b9211--gzip%22	https://www.membersleadingmembers.com/donate	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/donate.html	(from https://www.membersleadingmembers.com/)
20:07:11	60252/60252	------	200	untouched ('OK')	text/html	etag:W/%22ec14f0a1a292882ede4d02fc73949935--gzip%22	https://www.membersleadingmembers.com/contact	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/contact.html	(from https://www.membersleadingmembers.com/)
20:07:11	137937/137937	------	200	untouched ('OK')	text/html	etag:W/%2200d3992f8d32ca70b0e885251bd43675--gzip%22	https://www.membersleadingmembers.com/blog	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/blog.html	(from https://www.membersleadingmembers.com/)
20:07:11	863/863	------	200	untouched ('')	image/png	etag:CM6hleySje0CEAE=	https://images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921466870-AMKI0YH9L2MUX6H83QR5/logo-4-left.png?content-type=image%2Fpng	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921466870-AMKI0YH9L2MUX6H83QR5/logo-4-left5d45.png	(from https://www.membersleadingmembers.com/)
20:07:11	85/85	------	200	untouched ('')	image/png	etag:CI//2NmSje0CEAE=	https://images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921448810-WNF4Y0XGY3PAEZUR1EEL/pixel-FEE202.png?content-type=image%2Fpng	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921448810-WNF4Y0XGY3PAEZUR1EEL/pixel-FEE2025d45.png	(from https://www.membersleadingmembers.com/)
20:07:11	40377/40377	------	200	untouched ('')	image/png	etag:CIzyx7qoguwCEAE=	https://images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514935618392-WCT6F7ZCLUY06D361U45/logo-4-middle.png?format=1000w&content-type=image%2Fpng	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514935618392-WCT6F7ZCLUY06D361U45/logo-4-middle0403.png	(from https://www.membersleadingmembers.com/)
20:07:11	156/156	------	302	error ('Found')	text/html	etag:W/%221e3cde4f50fb0b150dcbc84f0ef358ca%22	https://www.membersleadingmembers.com/s/Members-Leading-Members-Flier-2021-03-15-collage2021-elections.pdf	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/s/Members-Leading-Members-Flier-2021-03-15-collage2021-elections.3a.delayed	(from https://www.membersleadingmembers.com/fliers)
20:07:11	639/639	------	200	untouched ('')	image/png	etag:CObr4eySje0CEAE=	https://images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921542110-9F2YLXRZYQFXZNDN738Q/logo-4-right.png?content-type=image%2Fpng	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/content/5a330eb8b1ffb6e54c3f0cff/1514921542110-9F2YLXRZYQFXZNDN738Q/logo-4-right5d45.png	(from https://www.membersleadingmembers.com/)
